nombre,direccion,estado
"Dental Center Central","Av. Principal 123, Madrid","ACTIVO"
"Dental Center North","Calle Norte 456, Barcelona","ACTIVO"
"Dental Center South","Boulevard Sur 789, Valencia","ACTIVO"
"Dental Center East","Av. Este 321, Sevilla","ACTIVO"
"Dental Center West","Calle Oeste 654, Bilbao","ACTIVO"
"Dental Care Plus","Paseo de la Castellana 200, Madrid","ACTIVO"
"Dental Express","Calle Mayor 75, Madrid","ACTIVO"
"Clínica Dental El Sol","Calle de la Luna 30, Madrid","ACTIVO"
"Centro Odontológico Moderno","Plaza Mayor 10, Madrid","ACTIVO"
"Sonrisas Sanas","Gran Vía 50, Madrid","INACTIVO"
